age,balance,campaign,contact,day,default,deposit,duration,education,housing,job,loan,marital,month,pdays,poutcome,previous
31,307,1,unknown,9,no,yes,538,secondary,yes,admin.,no,married,may,-1,unknown,0
28,759,1,unknown,9,no,yes,710,secondary,yes,blue-collar,no,single,may,-1,unknown,0
32,-1,1,unknown,9,yes,yes,653,secondary,yes,blue-collar,no,married,may,-1,unknown,0
60,65,2,unknown,9,no,yes,1028,primary,yes,technician,no,married,may,-1,unknown,0
26,82,1,unknown,9,no,yes,654,secondary,yes,blue-collar,no,single,may,-1,unknown,0
40,10,2,unknown,9,no,yes,1692,secondary,yes,blue-collar,no,married,may,-1,unknown,0
33,390,2,unknown,9,no,yes,665,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
32,311,2,unknown,12,no,yes,757,tertiary,no,management,no,single,may,-1,unknown,0
35,414,4,unknown,13,no,yes,504,primary,no,blue-collar,no,married,may,-1,unknown,0
33,5,1,unknown,13,no,yes,1346,secondary,yes,management,no,divorced,may,-1,unknown,0
38,119,4,unknown,13,no,yes,568,tertiary,yes,management,no,married,may,-1,unknown,0
23,4,2,unknown,13,no,yes,395,primary,yes,entrepreneur,no,single,may,-1,unknown,0
60,1262,1,unknown,13,no,yes,1015,primary,yes,blue-collar,yes,married,may,-1,unknown,0
48,1949,2,unknown,13,no,yes,683,tertiary,yes,management,no,married,may,-1,unknown,0
45,-395,1,unknown,13,no,yes,470,tertiary,yes,entrepreneur,no,divorced,may,-1,unknown,0
36,1165,4,unknown,13,no,yes,1001,secondary,yes,blue-collar,no,married,may,-1,unknown,0
52,2240,1,unknown,13,no,yes,845,unknown,yes,management,no,married,may,-1,unknown,0
35,300,2,unknown,13,no,yes,945,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
43,3285,2,unknown,13,no,yes,1721,secondary,yes,technician,no,married,may,-1,unknown,0
52,3923,3,unknown,14,no,yes,942,secondary,yes,housemaid,no,married,may,-1,unknown,0
53,1443,1,unknown,14,no,yes,476,primary,yes,technician,no,divorced,may,-1,unknown,0
48,24,1,unknown,14,no,yes,832,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
41,1618,1,unknown,14,no,yes,1553,primary,yes,blue-collar,no,single,may,-1,unknown,0
39,517,1,unknown,14,no,yes,1328,tertiary,yes,management,yes,divorced,may,-1,unknown,0
59,1521,2,unknown,14,no,yes,1125,secondary,yes,retired,yes,married,may,-1,unknown,0
41,2823,1,unknown,14,no,yes,858,secondary,yes,blue-collar,no,married,may,-1,unknown,0
48,1405,2,unknown,14,no,yes,629,secondary,yes,blue-collar,no,married,may,-1,unknown,0
40,1535,1,unknown,14,no,yes,704,secondary,yes,admin.,no,married,may,-1,unknown,0
48,1596,1,unknown,14,no,yes,760,secondary,yes,blue-collar,no,married,may,-1,unknown,0
60,1542,1,unknown,14,no,yes,930,primary,yes,retired,no,married,may,-1,unknown,0
40,3652,2,unknown,14,no,yes,1028,unknown,yes,technician,no,single,may,-1,unknown,0
57,-1,2,unknown,14,no,yes,850,tertiary,no,technician,no,married,may,-1,unknown,0
51,7180,1,unknown,14,no,yes,927,secondary,yes,blue-collar,no,married,may,-1,unknown,0
41,5291,3,unknown,14,no,yes,1423,secondary,yes,blue-collar,no,divorced,may,-1,unknown,0
41,1384,4,unknown,15,no,yes,1162,secondary,yes,blue-collar,no,married,may,-1,unknown,0
52,-191,1,unknown,15,no,yes,755,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
59,320,1,unknown,15,no,yes,695,primary,yes,blue-collar,no,married,may,-1,unknown,0
44,146,1,unknown,15,no,yes,483,unknown,yes,blue-collar,no,married,may,-1,unknown,0
49,341,2,unknown,15,no,yes,520,primary,yes,unknown,yes,married,may,-1,unknown,0
40,-9,2,unknown,15,no,yes,920,primary,yes,services,no,married,may,-1,unknown,0
41,-306,1,unknown,15,no,yes,500,primary,yes,admin.,no,married,may,-1,unknown,0
44,4580,2,unknown,15,no,yes,911,tertiary,yes,technician,no,married,may,-1,unknown,0
60,313,2,unknown,15,no,yes,920,primary,yes,services,no,single,may,-1,unknown,0
29,10576,2,unknown,15,no,yes,1224,tertiary,no,management,no,married,may,-1,unknown,0
41,-233,2,unknown,15,no,yes,1156,primary,yes,retired,no,divorced,may,-1,unknown,0
41,2453,1,unknown,15,no,yes,1052,primary,yes,blue-collar,no,married,may,-1,unknown,0
42,1364,6,unknown,15,no,yes,1867,secondary,yes,technician,no,single,may,-1,unknown,0
36,281,1,unknown,16,no,yes,515,unknown,yes,services,no,single,may,-1,unknown,0
39,94,1,unknown,16,no,yes,813,tertiary,yes,technician,yes,married,may,-1,unknown,0
31,144,1,unknown,16,no,yes,676,tertiary,yes,self-employed,no,single,may,-1,unknown,0
26,246,3,unknown,16,no,yes,1143,secondary,yes,blue-collar,no,married,may,-1,unknown,0
31,92,1,unknown,16,no,yes,688,secondary,yes,blue-collar,no,married,may,-1,unknown,0
29,163,1,unknown,16,no,yes,803,secondary,yes,admin.,yes,single,may,-1,unknown,0
37,49,2,unknown,16,no,yes,619,secondary,yes,services,no,divorced,may,-1,unknown,0
33,-416,2,unknown,16,no,yes,767,secondary,yes,blue-collar,no,single,may,-1,unknown,0
24,409,1,unknown,16,no,yes,912,secondary,yes,technician,no,single,may,-1,unknown,0
50,363,1,unknown,16,no,yes,1340,secondary,yes,admin.,no,divorced,may,-1,unknown,0
27,3706,1,unknown,16,no,yes,897,tertiary,yes,technician,no,single,may,-1,unknown,0
54,4393,3,unknown,16,no,yes,1297,tertiary,yes,management,no,single,may,-1,unknown,0
30,863,5,unknown,16,no,yes,1193,secondary,yes,technician,no,single,may,-1,unknown,0
34,695,4,unknown,16,no,yes,1064,primary,yes,blue-collar,yes,married,may,-1,unknown,0
37,792,4,unknown,16,no,yes,1187,secondary,yes,management,no,single,may,-1,unknown,0
41,1020,1,unknown,19,no,yes,882,secondary,yes,admin.,no,single,may,-1,unknown,0
47,863,2,unknown,19,no,yes,943,secondary,yes,blue-collar,no,married,may,-1,unknown,0
31,97,1,unknown,19,no,yes,607,secondary,yes,admin.,no,married,may,-1,unknown,0
31,754,4,unknown,19,no,yes,1022,secondary,yes,blue-collar,no,married,may,-1,unknown,0
43,1040,3,unknown,19,no,yes,552,secondary,yes,services,no,divorced,may,-1,unknown,0
37,122,2,unknown,19,no,yes,1622,tertiary,yes,management,no,divorced,may,-1,unknown,0
30,880,6,unknown,19,no,yes,967,tertiary,yes,technician,yes,single,may,-1,unknown,0
41,501,5,unknown,19,no,yes,579,secondary,yes,technician,no,married,may,-1,unknown,0
36,4438,1,unknown,20,no,yes,446,secondary,yes,blue-collar,no,married,may,-1,unknown,0
35,0,1,unknown,20,no,yes,1205,secondary,yes,blue-collar,no,divorced,may,-1,unknown,0
29,271,2,unknown,20,no,yes,1882,secondary,yes,services,no,single,may,-1,unknown,0
35,102,1,unknown,20,no,yes,1334,primary,yes,blue-collar,no,married,may,-1,unknown,0
31,2,2,unknown,20,no,yes,182,secondary,yes,blue-collar,no,married,may,-1,unknown,0
35,4170,1,unknown,20,no,yes,1777,secondary,yes,services,no,married,may,-1,unknown,0
34,85,4,unknown,20,no,yes,1182,secondary,yes,technician,no,single,may,-1,unknown,0
31,431,1,unknown,20,no,yes,1045,secondary,yes,admin.,yes,single,may,-1,unknown,0
44,982,3,unknown,20,no,yes,650,secondary,yes,technician,no,divorced,may,-1,unknown,0
36,408,2,unknown,20,no,yes,1063,primary,yes,blue-collar,yes,married,may,-1,unknown,0
35,4822,2,unknown,20,no,yes,843,unknown,yes,blue-collar,no,married,may,-1,unknown,0
41,1250,2,unknown,20,no,yes,1392,primary,yes,blue-collar,no,married,may,-1,unknown,0
31,216,1,unknown,21,no,yes,565,primary,yes,blue-collar,no,single,may,-1,unknown,0
34,1207,1,unknown,21,no,yes,905,secondary,yes,blue-collar,no,married,may,-1,unknown,0
32,791,2,unknown,21,no,yes,783,secondary,yes,technician,no,married,may,-1,unknown,0
36,849,2,unknown,21,no,yes,958,tertiary,yes,management,yes,married,may,-1,unknown,0
30,239,1,unknown,21,yes,yes,412,secondary,yes,blue-collar,no,single,may,-1,unknown,0
37,1211,1,unknown,21,no,yes,795,secondary,yes,technician,no,single,may,-1,unknown,0
36,599,2,unknown,21,no,yes,649,primary,yes,blue-collar,no,married,may,-1,unknown,0
31,825,2,unknown,21,no,yes,506,tertiary,yes,management,no,single,may,-1,unknown,0
27,2183,1,unknown,21,no,yes,857,secondary,yes,technician,yes,married,may,-1,unknown,0
34,4499,1,unknown,21,no,yes,1681,primary,no,retired,no,married,may,-1,unknown,0
30,1289,2,unknown,21,no,yes,1697,tertiary,yes,technician,no,single,may,-1,unknown,0
32,4665,2,unknown,21,no,yes,860,tertiary,yes,technician,no,single,may,-1,unknown,0
37,3326,1,unknown,21,no,yes,799,secondary,yes,technician,no,single,may,-1,unknown,0
32,783,3,unknown,21,no,yes,923,secondary,yes,blue-collar,no,married,may,-1,unknown,0
33,0,3,unknown,21,no,yes,521,secondary,yes,blue-collar,no,married,may,-1,unknown,0
35,994,8,unknown,23,no,yes,1349,primary,yes,blue-collar,no,married,may,-1,unknown,0
35,1354,2,unknown,23,no,yes,736,tertiary,yes,self-employed,no,divorced,may,-1,unknown,0
30,239,1,unknown,23,no,yes,785,secondary,yes,blue-collar,no,single,may,-1,unknown,0
45,-311,1,unknown,23,no,yes,1030,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
45,149,3,unknown,23,no,yes,893,secondary,yes,admin.,no,married,may,-1,unknown,0
33,1464,3,unknown,23,no,yes,588,secondary,yes,blue-collar,no,married,may,-1,unknown,0
44,5773,6,unknown,23,no,yes,597,tertiary,no,management,no,divorced,may,-1,unknown,0
40,278,3,unknown,23,no,yes,1015,primary,yes,blue-collar,no,married,may,-1,unknown,0
31,2910,2,unknown,23,no,yes,1392,secondary,yes,blue-collar,no,married,may,-1,unknown,0
30,541,2,unknown,26,no,yes,414,tertiary,yes,technician,no,married,may,-1,unknown,0
44,1262,11,unknown,26,no,yes,788,secondary,yes,technician,no,divorced,may,-1,unknown,0
34,-538,1,unknown,26,no,yes,682,secondary,yes,services,no,married,may,-1,unknown,0
37,125,2,unknown,26,no,yes,679,secondary,no,blue-collar,no,married,may,-1,unknown,0
28,0,2,unknown,26,no,yes,1560,tertiary,yes,self-employed,no,single,may,-1,unknown,0
32,620,3,unknown,26,no,yes,1234,secondary,yes,admin.,no,single,may,-1,unknown,0
37,316,2,unknown,26,no,yes,642,secondary,yes,blue-collar,no,divorced,may,-1,unknown,0
34,2287,4,unknown,26,no,yes,895,tertiary,yes,management,no,married,may,-1,unknown,0
38,198,2,unknown,26,no,yes,431,secondary,yes,admin.,no,divorced,may,-1,unknown,0
28,460,6,unknown,26,no,yes,741,secondary,yes,admin.,no,single,may,-1,unknown,0
31,1145,4,unknown,26,no,yes,1272,tertiary,yes,management,no,divorced,may,-1,unknown,0
59,-22,3,unknown,26,no,yes,748,secondary,yes,services,no,married,may,-1,unknown,0
24,685,3,unknown,26,no,yes,896,secondary,yes,blue-collar,no,married,may,-1,unknown,0
26,901,2,unknown,26,no,yes,764,secondary,yes,services,no,single,may,-1,unknown,0
59,351,5,unknown,27,no,yes,1063,secondary,yes,retired,no,single,may,-1,unknown,0
30,0,1,unknown,27,no,yes,1051,primary,yes,entrepreneur,yes,single,may,-1,unknown,0
37,274,3,unknown,27,no,yes,731,secondary,yes,admin.,no,married,may,-1,unknown,0
30,-213,1,unknown,27,no,yes,751,secondary,yes,admin.,yes,single,may,-1,unknown,0
25,97,1,unknown,27,no,yes,709,secondary,yes,blue-collar,no,married,may,-1,unknown,0
44,51,2,unknown,27,no,yes,3094,secondary,yes,services,yes,divorced,may,-1,unknown,0
29,314,2,unknown,28,no,yes,938,tertiary,no,management,no,married,may,-1,unknown,0
26,6840,2,unknown,28,no,yes,1560,tertiary,yes,management,no,single,may,-1,unknown,0
26,668,3,unknown,28,no,yes,576,secondary,yes,technician,no,single,may,-1,unknown,0
27,54,2,unknown,28,no,yes,543,secondary,yes,services,no,single,may,-1,unknown,0
25,1242,2,unknown,28,no,yes,615,secondary,yes,self-employed,no,single,may,-1,unknown,0
28,292,1,unknown,28,no,yes,507,secondary,yes,management,no,married,may,-1,unknown,0
23,665,1,unknown,28,no,yes,1183,secondary,yes,services,no,single,may,-1,unknown,0
34,1058,2,unknown,28,no,yes,864,tertiary,yes,management,no,single,may,-1,unknown,0
28,949,1,unknown,28,no,yes,1730,secondary,yes,student,no,single,may,-1,unknown,0
51,606,9,unknown,28,no,yes,560,unknown,yes,entrepreneur,no,married,may,-1,unknown,0
35,0,1,unknown,29,no,yes,543,secondary,yes,blue-collar,yes,married,may,-1,unknown,0
35,404,1,unknown,29,no,yes,539,secondary,yes,admin.,no,married,may,-1,unknown,0
56,249,2,unknown,29,no,yes,791,secondary,yes,blue-collar,no,married,may,-1,unknown,0
45,3354,1,unknown,29,no,yes,746,secondary,yes,unemployed,no,divorced,may,-1,unknown,0
60,0,1,unknown,29,no,yes,1207,secondary,yes,blue-collar,no,divorced,may,-1,unknown,0
56,589,2,unknown,29,no,yes,535,secondary,yes,technician,no,married,may,-1,unknown,0
27,12956,3,unknown,29,no,yes,789,tertiary,yes,management,no,single,may,-1,unknown,0
30,873,3,unknown,29,no,yes,792,secondary,yes,admin.,no,married,may,-1,unknown,0
45,594,2,unknown,29,no,yes,833,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
29,-20,2,unknown,29,no,yes,814,secondary,yes,blue-collar,no,single,may,-1,unknown,0
38,4692,2,unknown,29,no,yes,1363,tertiary,yes,management,no,divorced,may,-1,unknown,0
30,486,3,unknown,29,no,yes,1109,secondary,yes,blue-collar,no,married,may,-1,unknown,0
44,1593,3,unknown,29,no,yes,828,primary,yes,blue-collar,no,single,may,-1,unknown,0
36,7606,1,unknown,30,no,yes,917,tertiary,yes,management,no,single,may,-1,unknown,0
38,226,3,unknown,30,no,yes,762,secondary,yes,technician,no,married,may,-1,unknown,0
36,366,2,unknown,30,no,yes,1133,secondary,yes,blue-collar,yes,single,may,-1,unknown,0
37,16,1,unknown,30,no,yes,638,secondary,yes,management,no,divorced,may,-1,unknown,0
35,565,1,unknown,30,no,yes,763,tertiary,yes,management,no,single,may,-1,unknown,0
38,19,2,unknown,30,no,yes,604,secondary,yes,admin.,no,divorced,may,-1,unknown,0
40,1082,2,unknown,30,no,yes,854,primary,yes,services,no,married,may,-1,unknown,0
42,1713,2,unknown,30,no,yes,855,secondary,yes,unemployed,no,divorced,may,-1,unknown,0
46,14481,1,unknown,30,no,yes,1269,tertiary,yes,management,no,divorced,may,-1,unknown,0
35,5724,10,unknown,30,no,yes,691,secondary,yes,technician,no,divorced,may,-1,unknown,0
34,1451,15,unknown,30,no,yes,1097,secondary,yes,technician,no,divorced,may,-1,unknown,0
32,-34,2,unknown,30,no,yes,1236,secondary,yes,services,no,married,may,-1,unknown,0
50,3674,3,unknown,30,no,yes,886,secondary,yes,unemployed,no,married,may,-1,unknown,0
35,698,3,unknown,30,no,yes,1343,secondary,yes,blue-collar,yes,married,may,-1,unknown,0
36,4136,3,unknown,30,no,yes,812,secondary,yes,technician,no,single,may,-1,unknown,0
53,2656,2,unknown,30,no,yes,1980,primary,yes,blue-collar,no,divorced,may,-1,unknown,0
46,2904,2,unknown,30,no,yes,984,tertiary,yes,management,no,single,may,-1,unknown,0
26,1004,2,unknown,30,no,yes,228,tertiary,yes,management,no,single,may,-1,unknown,0
45,410,4,unknown,30,no,yes,891,secondary,yes,technician,no,single,may,-1,unknown,0
31,0,12,unknown,30,no,yes,745,primary,yes,unemployed,no,divorced,may,-1,unknown,0
29,0,12,unknown,30,no,yes,539,tertiary,yes,management,no,single,may,-1,unknown,0
53,62,5,unknown,30,no,yes,1044,secondary,yes,entrepreneur,no,single,may,-1,unknown,0
27,416,2,unknown,30,no,yes,1193,primary,yes,blue-collar,no,married,may,-1,unknown,0
39,2763,2,unknown,2,no,yes,526,tertiary,yes,management,no,married,jun,-1,unknown,0
36,2984,1,unknown,2,no,yes,394,secondary,yes,services,no,married,jun,-1,unknown,0
41,143,2,unknown,2,no,yes,659,primary,yes,blue-collar,yes,married,jun,-1,unknown,0
36,0,1,unknown,2,no,yes,1036,primary,yes,services,no,married,jun,-1,unknown,0
32,696,1,unknown,2,no,yes,815,secondary,yes,technician,no,married,jun,-1,unknown,0
35,152,1,unknown,2,no,yes,563,secondary,yes,services,no,married,jun,-1,unknown,0
36,-78,1,unknown,2,no,yes,1068,tertiary,yes,management,no,single,jun,-1,unknown,0
35,867,3,unknown,2,no,yes,230,tertiary,yes,management,no,married,jun,-1,unknown,0
30,953,2,unknown,2,no,yes,747,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
42,443,5,unknown,2,no,yes,671,secondary,yes,blue-collar,no,married,jun,-1,unknown,0
42,-1129,5,unknown,2,yes,yes,555,secondary,yes,technician,no,single,jun,-1,unknown,0
32,415,4,unknown,2,no,yes,777,primary,yes,blue-collar,no,married,jun,-1,unknown,0
29,260,14,unknown,2,no,yes,707,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
44,-411,4,unknown,2,yes,yes,432,tertiary,yes,management,no,divorced,jun,-1,unknown,0
32,1279,3,unknown,3,no,yes,1173,secondary,yes,technician,no,single,jun,-1,unknown,0
31,86,2,unknown,3,no,yes,963,secondary,yes,unemployed,yes,married,jun,-1,unknown,0
40,-754,3,unknown,3,yes,yes,941,secondary,yes,self-employed,yes,married,jun,-1,unknown,0
43,0,7,unknown,3,no,yes,1025,secondary,no,entrepreneur,no,married,jun,-1,unknown,0
27,178,2,unknown,3,no,yes,732,secondary,yes,management,no,single,jun,-1,unknown,0
37,278,3,unknown,3,no,yes,1045,secondary,yes,services,no,single,jun,-1,unknown,0
23,425,1,unknown,3,no,yes,768,secondary,yes,services,no,single,jun,-1,unknown,0
25,168,1,unknown,3,no,yes,801,primary,yes,management,no,married,jun,-1,unknown,0
26,-36,2,unknown,3,yes,yes,482,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
47,126,2,unknown,3,no,yes,2456,primary,yes,blue-collar,no,divorced,jun,-1,unknown,0
35,-87,7,unknown,3,no,yes,1363,secondary,yes,admin.,no,married,jun,-1,unknown,0
32,6281,4,unknown,3,no,yes,1336,tertiary,yes,technician,no,single,jun,-1,unknown,0
45,644,1,unknown,4,no,yes,633,secondary,yes,management,no,divorced,jun,-1,unknown,0
30,377,15,unknown,4,no,yes,524,secondary,yes,admin.,no,divorced,jun,-1,unknown,0
29,-271,1,unknown,4,no,yes,578,secondary,yes,services,no,single,jun,-1,unknown,0
38,5839,2,unknown,4,no,yes,984,primary,yes,blue-collar,no,married,jun,-1,unknown,0
23,492,1,unknown,4,no,yes,638,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
27,99,2,unknown,4,no,yes,767,tertiary,yes,management,no,single,jun,-1,unknown,0
27,-713,2,unknown,4,yes,yes,525,tertiary,yes,management,no,single,jun,-1,unknown,0
29,32,1,unknown,4,no,yes,563,secondary,yes,services,no,single,jun,-1,unknown,0
30,543,6,unknown,4,no,yes,1449,tertiary,yes,self-employed,yes,married,jun,-1,unknown,0
36,403,1,unknown,4,no,yes,920,primary,yes,blue-collar,no,married,jun,-1,unknown,0
35,437,1,unknown,4,no,yes,908,secondary,yes,admin.,no,divorced,jun,-1,unknown,0
36,1772,1,unknown,5,no,yes,208,secondary,no,blue-collar,no,married,jun,-1,unknown,0
59,-88,2,unknown,5,no,yes,910,primary,yes,retired,no,divorced,jun,-1,unknown,0
47,0,1,unknown,5,no,yes,1446,secondary,no,entrepreneur,no,married,jun,-1,unknown,0
58,853,2,unknown,5,no,yes,1149,tertiary,no,entrepreneur,no,married,jun,-1,unknown,0
37,240,1,unknown,5,no,yes,1123,tertiary,no,management,no,single,jun,-1,unknown,0
46,849,2,unknown,5,no,yes,508,secondary,yes,admin.,no,single,jun,-1,unknown,0
43,318,2,unknown,5,no,yes,736,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
27,703,3,unknown,5,no,yes,590,tertiary,yes,management,no,single,jun,-1,unknown,0
38,61,1,unknown,5,no,yes,636,secondary,no,services,no,divorced,jun,-1,unknown,0
53,104,1,unknown,5,no,yes,701,primary,no,housemaid,yes,married,jun,-1,unknown,0
47,1996,2,unknown,5,no,yes,761,secondary,no,blue-collar,no,married,jun,-1,unknown,0
56,1238,1,unknown,5,yes,yes,1558,primary,no,housemaid,no,divorced,jun,-1,unknown,0
41,879,2,unknown,5,no,yes,1053,secondary,no,housemaid,no,married,jun,-1,unknown,0
29,425,15,unknown,5,no,yes,562,secondary,yes,self-employed,no,married,jun,-1,unknown,0
50,416,5,unknown,5,no,yes,494,secondary,yes,technician,no,married,jun,-1,unknown,0
45,844,3,unknown,5,no,yes,1018,primary,no,blue-collar,no,divorced,jun,-1,unknown,0
35,860,4,unknown,5,no,yes,884,secondary,yes,blue-collar,no,married,jun,-1,unknown,0
26,639,5,unknown,6,no,yes,709,secondary,yes,technician,no,single,jun,-1,unknown,0
26,710,2,unknown,6,no,yes,1276,secondary,yes,admin.,yes,married,jun,-1,unknown,0
37,1508,2,unknown,6,no,yes,381,unknown,no,blue-collar,yes,married,jun,-1,unknown,0
30,223,11,unknown,6,no,yes,862,secondary,yes,admin.,no,single,jun,-1,unknown,0
38,619,4,unknown,6,no,yes,460,tertiary,yes,management,no,single,jun,-1,unknown,0
37,319,3,unknown,6,no,yes,467,secondary,yes,services,no,divorced,jun,-1,unknown,0
53,480,2,unknown,6,no,yes,648,secondary,no,technician,no,married,jun,-1,unknown,0
29,213,3,unknown,6,no,yes,2653,primary,yes,blue-collar,no,single,jun,-1,unknown,0
35,68,1,unknown,6,no,yes,1085,tertiary,no,management,no,single,jun,-1,unknown,0
28,2788,2,unknown,6,no,yes,369,secondary,yes,blue-collar,no,married,jun,-1,unknown,0
55,7561,3,unknown,6,no,yes,685,unknown,no,blue-collar,no,married,jun,-1,unknown,0
49,-46,10,unknown,9,no,yes,1055,secondary,yes,management,no,divorced,jun,-1,unknown,0
50,1595,1,unknown,9,no,yes,882,secondary,no,services,no,married,jun,-1,unknown,0
43,1046,1,unknown,9,no,yes,901,tertiary,no,management,no,single,jun,-1,unknown,0
58,1382,1,unknown,9,no,yes,700,tertiary,no,self-employed,no,divorced,jun,-1,unknown,0
38,217,6,unknown,9,no,yes,491,primary,yes,technician,no,married,jun,-1,unknown,0
48,183,1,unknown,9,no,yes,940,primary,no,blue-collar,no,divorced,jun,-1,unknown,0
59,1321,3,unknown,9,no,yes,3881,secondary,no,management,no,married,jun,-1,unknown,0
58,25,3,unknown,9,no,yes,486,secondary,no,blue-collar,no,married,jun,-1,unknown,0
36,4844,3,unknown,9,no,yes,1137,tertiary,no,self-employed,no,single,jun,-1,unknown,0
42,5345,3,unknown,11,no,yes,878,tertiary,no,entrepreneur,no,married,jun,-1,unknown,0
41,812,4,unknown,11,no,yes,583,secondary,no,admin.,yes,single,jun,-1,unknown,0
42,105,4,unknown,11,no,yes,1159,secondary,no,admin.,no,married,jun,-1,unknown,0
39,-190,8,unknown,11,no,yes,893,tertiary,no,management,yes,married,jun,-1,unknown,0
57,625,1,unknown,11,no,yes,867,primary,no,housemaid,yes,married,jun,-1,unknown,0
52,293,1,unknown,11,no,yes,706,unknown,no,retired,no,married,jun,-1,unknown,0
59,1033,1,unknown,11,no,yes,1199,unknown,no,retired,no,married,jun,-1,unknown,0
56,1210,1,unknown,11,no,yes,935,secondary,no,blue-collar,no,married,jun,-1,unknown,0
49,64,1,unknown,11,no,yes,586,tertiary,no,management,no,married,jun,-1,unknown,0
35,164,2,unknown,11,no,yes,967,unknown,no,blue-collar,no,divorced,jun,-1,unknown,0
36,1766,2,unknown,11,no,yes,595,secondary,no,unemployed,no,married,jun,-1,unknown,0
40,1248,2,unknown,11,no,yes,1290,tertiary,no,admin.,no,single,jun,-1,unknown,0
55,0,2,unknown,12,no,yes,614,secondary,no,blue-collar,no,married,jun,-1,unknown,0
58,826,1,unknown,12,no,yes,885,secondary,no,admin.,no,married,jun,-1,unknown,0
39,2630,5,unknown,12,no,yes,651,tertiary,no,self-employed,no,married,jun,-1,unknown,0
47,3727,6,unknown,12,no,yes,993,tertiary,no,housemaid,no,single,jun,-1,unknown,0
40,406,2,unknown,12,no,yes,577,secondary,yes,management,no,married,jun,-1,unknown,0
35,2999,6,unknown,12,no,yes,1141,tertiary,no,blue-collar,no,married,jun,-1,unknown,0
48,1000,2,unknown,12,no,yes,1268,secondary,yes,blue-collar,no,married,jun,-1,unknown,0
48,503,7,unknown,12,no,yes,1243,tertiary,no,management,yes,divorced,jun,-1,unknown,0
24,-203,3,unknown,12,yes,yes,465,secondary,yes,blue-collar,no,single,jun,-1,unknown,0
49,361,2,unknown,16,no,yes,513,primary,yes,blue-collar,no,married,jun,-1,unknown,0
36,274,11,unknown,16,no,yes,686,secondary,yes,blue-collar,no,married,jun,-1,unknown,0
52,3687,4,unknown,16,no,yes,741,tertiary,yes,retired,yes,divorced,jun,-1,unknown,0
